hit_distance_sc,launch_speed,launch_angle,effective_speed,pitch_name
261,99.6,11,95.2,4-Seam Fastball
99,107.1,3,94.3,Sinker
402,103.4,28,96.5,4-Seam Fastball
269,92.5,21,93.9,4-Seam Fastball
209,82.4,18,94.8,Sinker
383,104.5,23,93.6,4-Seam Fastball
8,106.7,-12,95.4,4-Seam Fastball
35,48.4,1,93.9,Cutter
15,92,-10,95.5,4-Seam Fastball
16,106.9,-10,96.8,4-Seam Fastball
4,87.9,-33,95,Sinker
200,73.3,54,95,4-Seam Fastball
8,105.6,-11,94.8,Sinker
320,89.1,22,94.3,Sinker
5,96.5,-23,94.6,Sinker
278,94.6,47,93,Sinker
11,75.6,-12,94.9,Sinker
238,98.6,11,95.1,4-Seam Fastball
128,99.1,7,95.2,Sinker
301,92.6,18,95.2,4-Seam Fastball
4,94.6,-24,95,4-Seam Fastball
3,103.2,-25,95.7,Sinker
392,100.4,33,94,Sinker
319,95.5,39,95.3,4-Seam Fastball
407,112,19,95.8,4-Seam Fastball
67,90.4,1,93.6,Sinker
300,98.1,47,95.7,4-Seam Fastball
2,85.4,-43,95.5,4-Seam Fastball
277,87.6,50,94.1,4-Seam Fastball
187,83.6,62,96,4-Seam Fastball
333,97.5,38,94.4,4-Seam Fastball
149,106.5,6,95.7,4-Seam Fastball
1,65.5,-66,94.2,4-Seam Fastball
68,106.4,1,93.7,Sinker
6,103.3,-18,93.4,Sinker
48,99.1,-1,94.6,4-Seam Fastball
3,71.9,-27,94.5,4-Seam Fastball
166,59.8,30,95.3,Sinker
356,106.9,17,94.3,4-Seam Fastball
204,79.9,19,94.7,4-Seam Fastball
392,102.2,21,94.3,4-Seam Fastball
9,91.6,-13,93.6,Sinker
133,97.3,7,95.1,Sinker
4,82.1,-30,93.9,4-Seam Fastball
243,89.3,56,94.9,4-Seam Fastball
219,78.9,51,94.6,4-Seam Fastball
288,80.7,35,94.2,4-Seam Fastball
423,108.5,31,93.8,4-Seam Fastball
194,93,60,95,4-Seam Fastball
342,87.8,33,95.6,4-Seam Fastball
140,85.1,9,95.5,Sinker
97,96.7,4,96.1,Sinker
163,53.7,39,95.1,Sinker
15,96.8,-7,95.7,Sinker
134,80.1,10,95.2,Cutter
240,85.6,55,95.5,4-Seam Fastball
5,78.4,-37,94.3,4-Seam Fastball
409,105.1,37,94.8,4-Seam Fastball
204,96.3,12,94.8,Sinker
214,104.3,8,95.4,4-Seam Fastball
166,97.3,10,93.5,Sinker
93,75.7,7,95.1,Cutter
226,113,7,95.8,Sinker
259,101.8,53,95.3,4-Seam Fastball
,,,95,Sinker
22,103.4,-5,95.6,Sinker
1,56.5,-62,95.8,Sinker
372,101.8,39,94.5,4-Seam Fastball
329,103.9,19,93.8,4-Seam Fastball
325,103.6,19,95.4,4-Seam Fastball
99,95.1,5,94.3,Sinker
196,90.8,12,95.3,4-Seam Fastball
2,76.6,-41,95.2,4-Seam Fastball
53,91.5,1,94.9,4-Seam Fastball
94,99.9,4,96.4,4-Seam Fastball
134,65.6,15,95.6,4-Seam Fastball
282,86.8,18,95.6,4-Seam Fastball
31,89.9,-2,94.4,4-Seam Fastball
146,94,10,94.2,4-Seam Fastball
9,86,-15,94.1,4-Seam Fastball
4,80.7,-43,95,4-Seam Fastball
26,66.6,-2,95,4-Seam Fastball
267,94,50,96.1,4-Seam Fastball
118,91.7,7,94.6,4-Seam Fastball
372,101.3,33,94.5,4-Seam Fastball
318,86.4,29,94.2,4-Seam Fastball
257,71.4,32,94.9,Sinker
42,92.9,0,94.5,Sinker
348,89.6,35,94.5,4-Seam Fastball
209,77.6,54,95.2,4-Seam Fastball
341,99.3,44,94.8,Sinker
209,90.9,15,94.3,4-Seam Fastball
14,102.6,-7,94.8,4-Seam Fastball
309,98.4,46,94.7,4-Seam Fastball
23,100.8,-4,94.4,4-Seam Fastball
74,76.9,75,95.9,4-Seam Fastball
152,80.1,64,94.9,4-Seam Fastball
198,65.5,24,95.7,4-Seam Fastball
277,79.4,28,95.2,4-Seam Fastball
323,84.1,35,95,4-Seam Fastball
14,99.5,-10,94.6,4-Seam Fastball
245,91.2,15,95.6,4-Seam Fastball
181,96.4,11,93.8,4-Seam Fastball
275,81,24,95.4,4-Seam Fastball
15,93.6,-10,94,4-Seam Fastball
3,96.9,-35,94.9,4-Seam Fastball
299,103.8,17,95.5,4-Seam Fastball
281,88.7,22,95.1,4-Seam Fastball
49,106.9,0,94.1,4-Seam Fastball
70,54.2,9,94.7,Sinker
340,97.6,22,96,4-Seam Fastball
135,102.1,6,93.9,4-Seam Fastball
192,71.4,51,94.6,Sinker
239,104.5,10,95.4,Sinker
392,100.9,35,95.4,4-Seam Fastball
16,90.3,-10,95.8,4-Seam Fastball
47,106.9,-1,94.1,4-Seam Fastball
3,60.9,-21,95.4,4-Seam Fastball
337,92.5,40,94.6,4-Seam Fastball
312,89.7,39,94.4,4-Seam Fastball
6,87,-16,94.3,4-Seam Fastball
217,85.2,59,94.2,4-Seam Fastball
2,65.6,-47,95,Sinker
1,81,-61,93.4,Sinker
389,101.4,28,96.3,4-Seam Fastball
8,87.9,-20,95.7,4-Seam Fastball
331,96.2,41,95.4,4-Seam Fastball
8,102.4,-18,94.3,4-Seam Fastball
2,71.6,-56,94.8,4-Seam Fastball
201,97.2,11,94.5,4-Seam Fastball
350,95.1,25,93.1,4-Seam Fastball
270,86.9,23,94.9,Sinker
299,91.6,45,95.2,4-Seam Fastball
416,106.8,24,94.8,4-Seam Fastball
430,105.9,27,94.8,4-Seam Fastball
171,95.1,61,94.8,4-Seam Fastball
370,102,20,94.3,Sinker
298,99.9,41,95.3,4-Seam Fastball
181,100.5,9,94.2,Sinker
4,70.8,-27,94.2,Sinker
230,79.9,19,95.9,Sinker
166,90.6,64,94.6,Sinker
202,89.8,14,94.8,4-Seam Fastball
213,74.2,53,94.6,4-Seam Fastball
36,52.1,2,94.1,Sinker
114,83.2,72,94.8,4-Seam Fastball
399,117.9,21,95.1,Sinker
71,105.9,2,94.3,Sinker
373,100.2,23,95.1,4-Seam Fastball
3,63.8,-33,95.5,Sinker
7,86.3,-16,93.5,Sinker
91,102.7,73,95.2,4-Seam Fastball
140,75.3,65,94.4,Sinker
108,70.4,9,94,Sinker
380,113.4,20,94.5,4-Seam Fastball
41,110.3,-1,95.5,4-Seam Fastball
211,77.3,51,95,4-Seam Fastball
83,92.1,4,95.2,4-Seam Fastball
10,97.5,-12,94.9,4-Seam Fastball
70,99.9,3,95,Sinker
330,91.7,34,94.6,4-Seam Fastball
402,102.1,31,93.2,Sinker
309,89.5,21,94.6,4-Seam Fastball
211,79.5,58,95.5,4-Seam Fastball
8,97.4,-12,94.4,Sinker
14,101.5,-8,94.5,4-Seam Fastball
338,95.4,20,94.6,4-Seam Fastball
295,83.2,36,94,4-Seam Fastball
103,110.3,4,93.3,4-Seam Fastball
6,86.1,-31,95.2,4-Seam Fastball
301,93.1,49,93.4,4-Seam Fastball
235,85.5,52,94,4-Seam Fastball
306,103.1,16,93.4,Sinker
48,75.2,1,93.6,4-Seam Fastball
52,97.7,-1,94.1,4-Seam Fastball
293,94.8,21,93.9,4-Seam Fastball
182,61.9,31,93.7,4-Seam Fastball
212,80.2,16,93.4,Sinker
144,95.8,9,95.3,4-Seam Fastball
193,104.5,8,94.6,4-Seam Fastball
5,98.5,-20,93.7,4-Seam Fastball
219,105,62,94.3,4-Seam Fastball
1,83.4,-69,95,4-Seam Fastball
179,87.9,60,94.4,4-Seam Fastball
251,99.7,14,94.7,Sinker
15,105.6,-8,93.9,4-Seam Fastball
331,100.2,30,94.2,4-Seam Fastball
22,95.8,-6,94.2,4-Seam Fastball
334,104.3,14,94.7,Sinker
81,90,3,95.5,4-Seam Fastball
105,88.7,69,94.5,4-Seam Fastball
56,95.4,1,94.9,4-Seam Fastball
289,93.7,50,93.7,4-Seam Fastball
63,94.4,2,94.5,4-Seam Fastball
325,92.7,22,94.8,4-Seam Fastball
84,79,6,94.8,4-Seam Fastball
180,96.1,66,95,4-Seam Fastball
335,97.9,43,95.2,4-Seam Fastball
376,100.8,26,94.9,Sinker
247,105.6,52,93.8,4-Seam Fastball
233,74.1,29,94.3,Sinker
352,95.9,23,94,4-Seam Fastball
4,82.2,-27,93.9,4-Seam Fastball
409,103.5,25,95,4-Seam Fastball
292,83.7,37,95.6,4-Seam Fastball
379,107.4,23,93.1,4-Seam Fastball
292,80.8,35,94.3,4-Seam Fastball
295,82.8,36,93.1,4-Seam Fastball
390,105.5,28,94.3,Sinker
282,106,15,93.8,4-Seam Fastball
200,70.5,46,93.8,4-Seam Fastball
175,75.3,13,94.6,4-Seam Fastball
4,78.7,-33,94.6,4-Seam Fastball
244,76.5,47,94.4,4-Seam Fastball
316,114.2,18,92.7,4-Seam Fastball
4,57.9,-31,94.9,4-Seam Fastball
2,91.6,-33,92.8,Sinker
218,89,16,95.7,4-Seam Fastball
1,53.4,-55,92.7,Sinker
57,100,1,94.7,4-Seam Fastball
19,80.9,-8,94.2,4-Seam Fastball
355,98.1,40,94.8,4-Seam Fastball
6,98.6,-27,94.9,Sinker
3,94,-31,95,4-Seam Fastball
329,109.5,20,94.3,4-Seam Fastball
2,67.1,-48,94,4-Seam Fastball
3,100,-30,93.2,Sinker
383,103.2,21,95,4-Seam Fastball
27,96.2,-4,94.8,4-Seam Fastball
294,85.1,33,95.4,4-Seam Fastball
11,96,-16,94.5,4-Seam Fastball
3,103.5,-45,94.7,4-Seam Fastball
262,75.9,27,94.8,4-Seam Fastball
13,104.3,-13,93.5,4-Seam Fastball
310,89.7,42,94,4-Seam Fastball
395,102.8,32,94.5,4-Seam Fastball
395,108.9,19,95.3,4-Seam Fastball
27,100,-4,94.1,4-Seam Fastball
345,104.4,17,92.8,Sinker
22,86.3,-6,94.7,4-Seam Fastball
32,92.4,-2,94.6,4-Seam Fastball
217,90.8,13,93.8,4-Seam Fastball
314,91.6,20,94.3,Sinker
144,52.5,28,94.2,4-Seam Fastball
22,104.4,-4,93,Sinker
31,101.2,-4,94.7,4-Seam Fastball
3,105.6,-34,95.8,Sinker
4,90.7,-27,92.8,Sinker
215,79.3,17,92.9,4-Seam Fastball
298,95.1,43,92.6,4-Seam Fastball
6,89.2,-18,94.8,4-Seam Fastball
5,50.7,-30,94.3,Sinker
391,108.8,19,94.3,4-Seam Fastball
4,72,-30,94.7,4-Seam Fastball
292,86.3,26,94.4,Sinker
400,104.4,23,93.3,4-Seam Fastball
103,51.9,63,94.3,4-Seam Fastball
8,103.3,-18,95.1,Sinker
309,92.2,49,94.1,4-Seam Fastball
32,111.4,-3,95.4,4-Seam Fastball
226,71.2,27,94,4-Seam Fastball
290,89.8,26,95,Sinker
85,88.1,4,95.4,Sinker
204,88.9,61,93.9,4-Seam Fastball
368,99.8,37,94.1,Sinker
10,95.9,-11,95.1,4-Seam Fastball
244,90.3,56,94.7,4-Seam Fastball
185,85,60,94.7,4-Seam Fastball
30,105.5,-1,94.3,4-Seam Fastball
50,94.6,0,95,Sinker
190,64.8,45,95,4-Seam Fastball
30,87.2,-2,95.9,4-Seam Fastball
208,88.6,12,95.6,4-Seam Fastball
299,88.1,23,93.3,4-Seam Fastball
391,107.8,22,94.1,Sinker
381,105,20,94.2,4-Seam Fastball
1,53.7,-63,94.3,4-Seam Fastball
303,80.2,32,93.3,4-Seam Fastball
118,103.4,4,94.3,4-Seam Fastball
414,111.1,21,93.4,4-Seam Fastball
390,115.6,20,95.3,4-Seam Fastball
332,102.5,17,94,4-Seam Fastball
7,84,-19,93,Sinker
123,73.4,11,94.7,4-Seam Fastball
37,85.2,-1,95.3,4-Seam Fastball
22,98.8,-4,94.4,4-Seam Fastball
176,73.3,17,94.3,Sinker
135,56.5,54,93.7,4-Seam Fastball
8,95,-19,92.7,Sinker
66,104,2,93.9,Sinker
13,51.3,-10,94.4,4-Seam Fastball
111,59.8,18,94.2,Sinker
78,102.3,3,92.8,Sinker
149,74.5,61,95.8,4-Seam Fastball
57,29.2,43,94.8,4-Seam Fastball
83,65.8,71,95.1,4-Seam Fastball
355,96,43,94.1,4-Seam Fastball
402,105.5,26,94,4-Seam Fastball
4,86.5,-33,93.5,Sinker
280,82.9,27,93.5,4-Seam Fastball
4,86,-17,92.6,Sinker
380,100.1,26,93.7,4-Seam Fastball
13,107.9,-6,93.9,Sinker
31,94.4,-4,94.7,4-Seam Fastball
424,105.2,36,92.9,Sinker
157,70,16,94.3,Sinker
384,100.3,25,94.3,Sinker
179,62.5,45,94,4-Seam Fastball
2,68.6,-59,94.7,4-Seam Fastball
1,75.3,-62,95.5,4-Seam Fastball
51,95.3,0,95.1,4-Seam Fastball
364,98,35,94.8,4-Seam Fastball
272,78.5,29,92.5,Sinker
8,51.9,-20,93.9,4-Seam Fastball
36,107.1,-3,92.9,Sinker
7,90.4,-27,92.4,Sinker
9,97.6,-17,94.9,4-Seam Fastball
412,110.1,41,94,4-Seam Fastball
289,95,16,94.6,4-Seam Fastball
386,100,26,94.7,4-Seam Fastball
255,85.3,17,93.6,4-Seam Fastball
356,100.9,38,92.8,Sinker
254,79.5,42,95.1,4-Seam Fastball
310,94.9,45,95.6,4-Seam Fastball
6,73.8,-13,94.4,4-Seam Fastball
432,109.8,29,94,4-Seam Fastball
340,99.8,22,93.6,4-Seam Fastball
52,87.1,2,94.2,Sinker
3,99.9,-32,94.1,4-Seam Fastball
223,89.8,16,94,4-Seam Fastball
7,88.3,-15,95.4,4-Seam Fastball
190,76.4,18,94.7,Sinker
37,90.5,84,94.1,4-Seam Fastball
283,83.4,20,93.7,Changeup
264,84.1,19,94.1,4-Seam Fastball
0,49,-83,93.8,4-Seam Fastball
395,107.4,42,93.1,4-Seam Fastball
326,88.4,39,95.4,Cutter
1,51.5,-61,94.3,Sinker
18,62.4,-5,94.1,4-Seam Fastball
294,90.7,26,93,Sinker
20,95.5,-5,92.3,Sinker
218,95.2,62,94,4-Seam Fastball
416,103.6,30,95,4-Seam Fastball
362,96.1,25,94.1,4-Seam Fastball
67,82.9,3,94.7,4-Seam Fastball
149,76.5,65,94.2,4-Seam Fastball
339,95.3,25,94.5,4-Seam Fastball
116,91.9,68,94.1,4-Seam Fastball
13,97.6,-10,94.8,4-Seam Fastball
76,60.2,9,94.5,4-Seam Fastball
386,105.9,21,93.1,4-Seam Fastball
169,87.6,66,94.7,Sinker
1,69.7,-65,94.2,4-Seam Fastball
169,105.8,8,93.1,Sinker
2,86.3,-41,95.2,Sinker
243,71.6,36,93.6,4-Seam Fastball
249,79,23,94.5,4-Seam Fastball
4,89.3,-26,94.5,4-Seam Fastball
3,89.5,-36,94.8,Sinker
302,88.6,27,94.5,4-Seam Fastball
281,85.6,41,92.8,4-Seam Fastball
2,72.9,-41,93.9,Sinker
349,101.2,20,93.9,Sinker
157,72.7,14,94.7,4-Seam Fastball
247,90.5,53,94.2,4-Seam Fastball
229,73.5,45,93.8,4-Seam Fastball
9,49.8,-14,93.4,4-Seam Fastball
269,83.7,39,94.1,4-Seam Fastball
39,102,-2,93.9,4-Seam Fastball
307,101.2,17,94.4,4-Seam Fastball
216,85.2,60,92.8,Sinker
5,86.9,-24,95.2,4-Seam Fastball
358,99.1,32,94.3,4-Seam Fastball
69,79.4,76,94.7,4-Seam Fastball
3,94,-36,94.5,Sinker
221,100.5,12,93.7,Sinker
430,107,29,94.5,Sinker
175,57.1,31,92.9,4-Seam Fastball
241,108.8,13,92.5,4-Seam Fastball
105,105.8,4,93.7,Sinker
397,105.8,37,94.8,4-Seam Fastball
6,94.1,-14,95.4,Sinker
48,80.3,1,94.1,4-Seam Fastball
68,100.9,3,93.4,4-Seam Fastball
6,104.3,-21,94.2,4-Seam Fastball
14,91.1,80,94,4-Seam Fastball
376,100.9,35,95.1,4-Seam Fastball
229,68.6,38,93.9,4-Seam Fastball
7,99.7,-18,93.9,4-Seam Fastball
307,101.3,17,95.1,4-Seam Fastball
165,84.2,10,93.7,4-Seam Fastball
377,102.4,23,94.4,Changeup
282,90.6,22,94.4,4-Seam Fastball
18,103.6,-8,93.9,4-Seam Fastball
153,90.1,70,93.3,4-Seam Fastball
159,74.4,16,94.3,Sinker
242,78.2,43,94.4,4-Seam Fastball
434,110.8,32,92.9,4-Seam Fastball
306,83.3,41,94.6,Sinker
245,106.1,9,92.9,4-Seam Fastball
336,108,18,93.9,4-Seam Fastball
42,71.3,79,94.2,4-Seam Fastball
3,103,-29,94.3,4-Seam Fastball
234,78.8,19,93.6,Sinker
274,92.4,18,94.3,4-Seam Fastball
272,92,50,94,4-Seam Fastball
202,62.5,34,94.8,4-Seam Fastball
380,111.6,18,93.9,4-Seam Fastball
29,79.3,79,92.9,4-Seam Fastball
246,78.7,37,93.5,4-Seam Fastball
276,83.5,25,94.4,4-Seam Fastball
83,86.1,76,93.3,4-Seam Fastball
27,70.3,-3,93.9,4-Seam Fastball
168,58.9,48,92.4,Sinker
165,79.3,15,94.8,4-Seam Fastball
231,102.1,9,92.9,Sinker
191,74.2,55,93.6,4-Seam Fastball
260,103.4,12,94.2,4-Seam Fastball
188,103.1,10,94.5,4-Seam Fastball
326,99.3,18,93.2,4-Seam Fastball
35,98.1,-3,93.8,Sinker
9,88.7,-17,93.1,Sinker
437,109.7,28,92.6,Sinker
55,102.2,1,93.3,4-Seam Fastball
355,108.9,15,92.7,Sinker
4,83.3,-30,93.8,Sinker
15,99.6,-8,94.1,4-Seam Fastball
82,90.4,5,94.7,4-Seam Fastball
245,103.2,14,92.2,Sinker
379,106.3,23,94.2,Sinker
336,97,44,94.7,Sinker
15,101.7,-9,93.9,4-Seam Fastball
35,83.2,-1,94,Sinker
171,57,28,94.5,4-Seam Fastball
96,76.1,73,94.7,4-Seam Fastball
214,99.1,60,94.3,4-Seam Fastball
316,96.7,17,92.3,Sinker
432,109.3,35,94.3,4-Seam Fastball
14,89.9,-10,93.8,4-Seam Fastball
2,65.2,-48,93.3,4-Seam Fastball
436,107,37,93.3,Sinker
116,110.1,6,93,Sinker
14,91.3,-11,94.5,Cutter
242,81,47,92.5,4-Seam Fastball
54,104.5,0,94.2,4-Seam Fastball
149,94.9,8,94,Sinker
327,89.9,32,93.9,Sinker
316,90.8,45,92.7,4-Seam Fastball
248,85.4,53,95.1,4-Seam Fastball
236,87.3,20,93,Cutter
160,106.6,9,93.9,Cutter
351,99.4,39,93.5,4-Seam Fastball
316,87.6,33,94,4-Seam Fastball
146,90.2,8,94,4-Seam Fastball
68,74,75,92.6,4-Seam Fastball
308,96.9,20,94.7,Sinker
219,110.4,9,94.1,Sinker
352,104.9,20,92.7,4-Seam Fastball
350,105.3,20,94.2,4-Seam Fastball
117,63.6,64,92.9,Slider
23,73.6,-4,94.1,Sinker
415,110.3,21,93.3,Sinker
4,89.4,-17,92.9,Sinker
90,100.8,4,93.7,4-Seam Fastball
15,91.3,-8,93.8,4-Seam Fastball
176,66.1,21,93.4,4-Seam Fastball
291,80.7,27,93.4,4-Seam Fastball
197,95,11,92.9,Sinker
48,99.8,0,93.5,Sinker
107,75.2,8,93.9,4-Seam Fastball
344,93.3,21,93.7,Sinker
350,88.2,33,94.1,4-Seam Fastball
2,79.2,-41,93.7,Cutter
10,90.2,-13,94.2,4-Seam Fastball
61,95.2,78,93.9,4-Seam Fastball
16,101.4,-8,94,4-Seam Fastball
403,111,22,93.7,4-Seam Fastball
252,79.4,23,93.4,4-Seam Fastball
277,77.4,27,94.1,4-Seam Fastball
7,97.9,-20,93.9,4-Seam Fastball
31,95.9,-1,93.2,Sinker
191,90.4,61,94,4-Seam Fastball
256,72.3,30,93.1,4-Seam Fastball
1,58.8,-62,94,Sinker
236,76,29,93.7,4-Seam Fastball
299,87,24,94,4-Seam Fastball
15,68.8,-8,93.4,4-Seam Fastball
3,89.9,-41,93.3,Sinker
186,86.8,64,93.1,Sinker
242,72.5,41,93.3,4-Seam Fastball
288,84.9,40,93,4-Seam Fastball
258,97.9,55,93,Sinker
5,92.9,-26,92.9,Sinker
385,99.9,40,95.1,4-Seam Fastball
237,74.6,23,93.9,4-Seam Fastball
9,78.8,-14,93.5,4-Seam Fastball
395,96.8,32,93.4,4-Seam Fastball
168,87.2,11,94.3,4-Seam Fastball
148,102.9,7,93.1,Sinker
176,110.7,9,94.1,4-Seam Fastball
347,104.4,17,94.5,4-Seam Fastball
324,94.8,38,93.2,Sinker
82,99.6,3,93.3,Sinker
349,103.6,22,92.6,Sinker
439,111.1,30,94.5,Sinker
51,96.1,1,93.9,4-Seam Fastball
122,100.2,4,93.4,Cutter
147,75.9,11,93.3,4-Seam Fastball
317,91.6,42,93,4-Seam Fastball
256,87.7,18,94.5,Sinker
180,59,44,92.2,4-Seam Fastball
246,83.4,22,94.6,4-Seam Fastball
3,75.6,-30,92.2,Sinker
293,105.7,13,94,Cutter
4,91.1,-31,93.7,Sinker
139,89.1,8,93.2,4-Seam Fastball
90,111.8,3,93.8,4-Seam Fastball
273,81.4,25,92.3,4-Seam Fastball
297,79.4,35,93,4-Seam Fastball
219,84.4,17,92.6,4-Seam Fastball
280,76.5,33,93.7,Sinker
11,104.6,-13,93.7,Sinker
233,90.1,53,92.7,4-Seam Fastball
68,109.6,3,93.9,4-Seam Fastball
373,99.5,29,92.4,4-Seam Fastball
425,103.4,24,93.1,4-Seam Fastball
286,108.3,48,93.8,4-Seam Fastball
228,80,22,93,Sinker
278,79.8,33,94,4-Seam Fastball
1,45.3,-69,94.1,Sinker
323,91.8,39,93.3,4-Seam Fastball
89,47.5,61,94.8,4-Seam Fastball
143,68.1,15,93.2,4-Seam Fastball
6,99.8,-21,93.5,4-Seam Fastball
1,55.1,-42,94.7,Sinker
4,104.1,-26,92.7,Sinker
63,82.1,3,93.6,4-Seam Fastball
363,96.4,24,93.5,4-Seam Fastball
324,103,18,92.4,4-Seam Fastball
349,100.9,22,93.7,4-Seam Fastball
130,56.9,58,93.9,Sinker
368,100.6,38,93.9,Sinker
420,105.3,22,92.6,Sinker
177,80.2,60,92.7,Sinker
25,101.4,-5,92.3,Sinker
260,80.4,28,93,4-Seam Fastball
370,97.8,39,93.3,4-Seam Fastball
7,54,-19,93.3,4-Seam Fastball
48,96.2,0,93.9,Sinker
152,68.7,64,93.5,4-Seam Fastball
109,88.2,75,92.1,4-Seam Fastball
162,57.9,46,94.4,Sinker
355,96.3,31,93.2,4-Seam Fastball
219,89.2,13,94.1,Sinker
330,96.1,46,93.9,4-Seam Fastball
51,99.2,1,94.5,Sinker
211,97.2,11,93.9,4-Seam Fastball
247,87.9,16,92.4,Sinker
105,85.8,76,92.3,Sinker
23,90.3,-6,93.6,4-Seam Fastball
272,84.3,42,93.7,4-Seam Fastball
344,96.6,26,93.8,4-Seam Fastball
397,105.8,25,93.8,4-Seam Fastball
372,101.6,22,93.7,4-Seam Fastball
153,58.2,24,93.5,4-Seam Fastball
53,99.4,1,92.5,Sinker
79,102.2,2,93.3,4-Seam Fastball
3,85.4,-29,92.3,Sinker
199,77.9,55,93.4,4-Seam Fastball
164,102.2,8,92.4,Sinker
267,85.1,49,93.4,4-Seam Fastball
370,93.2,26,93.5,4-Seam Fastball
278,81.1,39,93.5,4-Seam Fastball
32,101.7,-3,92.9,Sinker
135,94.1,8,93.5,4-Seam Fastball
390,106.3,23,93.1,4-Seam Fastball
134,95.3,8,93.9,4-Seam Fastball
52,98.4,0,93.5,4-Seam Fastball
323,107.7,13,94.7,4-Seam Fastball
9,85.6,-21,93,4-Seam Fastball
45,75,78,94,Sinker
233,99.3,10,92.9,4-Seam Fastball
394,101.7,28,92.7,4-Seam Fastball
177,67.8,18,94,Sinker
319,87.8,29,93.4,4-Seam Fastball
402,104.1,24,92.1,Sinker
293,89.7,47,93.9,4-Seam Fastball
344,99.4,26,92.2,Sinker
240,77.4,45,93.6,4-Seam Fastball
235,113.1,10,94.2,Sinker
277,95.7,15,94.6,Sinker
6,71.3,-20,93.2,Sinker
7,92.5,-14,93.1,Sinker
404,108.5,21,92.4,4-Seam Fastball
430,105.4,24,92.4,4-Seam Fastball
318,87.8,26,93.2,4-Seam Fastball
239,90.6,15,92.7,4-Seam Fastball
151,91.1,9,93.9,Sinker
405,104.4,29,94.1,Sinker
6,99.9,-19,93.7,Sinker
2,92.8,-34,93.6,4-Seam Fastball
111,95.5,70,93.7,4-Seam Fastball
130,88.8,8,93.4,4-Seam Fastball
5,100.8,-34,93,4-Seam Fastball
352,93.5,38,92,Sinker
334,112.2,16,92.7,4-Seam Fastball
206,94.9,11,93.7,4-Seam Fastball
50,83.2,2,93.6,4-Seam Fastball
286,107.9,11,93.2,4-Seam Fastball
408,105.9,37,93.4,4-Seam Fastball
210,101.5,13,93.2,4-Seam Fastball
4,101,-24,92.7,4-Seam Fastball
424,105,32,91.7,Sinker
371,100.2,32,92.3,Sinker
302,99.7,16,92.8,4-Seam Fastball
106,106.2,5,93.6,4-Seam Fastball
280,92.6,51,92.2,Sinker
37,102.9,-1,93.6,4-Seam Fastball
166,85.5,63,92.1,Sinker
215,79.7,56,92.4,Sinker
252,74.4,42,93.7,Sinker
4,90,-30,92.8,4-Seam Fastball
332,98.7,20,94.3,Sinker
268,104.2,15,94.7,Sinker
246,76.1,44,93,4-Seam Fastball
19,98,-6,93.6,4-Seam Fastball
401,106.4,29,93.4,4-Seam Fastball
55,102.7,0,92.9,Sinker
333,105.6,20,91.8,Sinker
27,74.3,-2,93.2,Sinker
105,56.4,63,93.3,Sinker
98,87.5,7,91.4,Sinker
279,105.4,14,93,4-Seam Fastball
448,108.6,28,93.1,4-Seam Fastball
10,108.6,-11,93.4,4-Seam Fastball
389,98,32,93.3,4-Seam Fastball
176,95.1,11,93,4-Seam Fastball
7,63.7,-24,93.1,4-Seam Fastball
7,97.1,-16,93.7,Sinker
101,90.2,77,93.3,Sinker
281,95.4,51,93.3,4-Seam Fastball
161,98.4,9,93.5,4-Seam Fastball
44,71.6,86,93,4-Seam Fastball
358,91.4,27,92.2,Sinker
183,81.5,60,93.5,4-Seam Fastball
341,101,22,93,4-Seam Fastball
325,99.5,18,92.3,4-Seam Fastball
174,82.6,12,93.3,4-Seam Fastball
28,76.2,-3,93,Sinker
371,105.2,17,94.9,4-Seam Fastball
90,87.7,5,93.2,Sinker
265,101.9,59,93.7,4-Seam Fastball
174,102.3,12,93.4,Sinker
420,109.4,25,93.3,4-Seam Fastball
5,80.5,-31,93,4-Seam Fastball
283,108.3,12,94.6,4-Seam Fastball
126,103.8,5,91.8,Sinker
210,85.8,56,93.9,4-Seam Fastball
204,89.1,60,93.1,4-Seam Fastball
343,107.6,45,92,4-Seam Fastball
389,100.1,28,92.6,4-Seam Fastball
249,85.6,46,93.2,4-Seam Fastball
2,71.3,-33,94.8,Slider
217,99.2,11,92.5,4-Seam Fastball
24,89.8,-4,93.1,4-Seam Fastball
430,107,28,94.2,Sinker
333,94,41,92.9,4-Seam Fastball
297,94.1,40,92.6,4-Seam Fastball
355,93.6,29,93.5,4-Seam Fastball
327,109.7,19,91.7,4-Seam Fastball
251,90.6,55,92.9,4-Seam Fastball
217,89.5,57,92.5,Sinker
163,88.7,10,93.4,4-Seam Fastball
181,97.5,13,93.2,Sinker
189,58.5,39,94.2,4-Seam Fastball
69,109.7,2,94,Sinker
58,98.2,0,93.1,4-Seam Fastball
16,96.7,-9,92.2,Sinker
114,85.7,6,93.3,4-Seam Fastball
9,65.9,-21,91.9,Sinker
26,55.3,-2,93.1,4-Seam Fastball
74,102.9,3,92.6,4-Seam Fastball
53,92.1,0,93,4-Seam Fastball
13,89.8,-9,93.1,4-Seam Fastball
481,111.9,27,93.6,4-Seam Fastball
135,104.4,6,93.3,Sinker
320,96.9,18,92.8,4-Seam Fastball
404,102.6,27,92.1,Sinker
7,98.8,-15,92.4,Sinker
411,104.4,26,91.4,Sinker
