hit_distance_sc,launch_speed,launch_angle,effective_speed,pitch_name
323,100.3,44,98.2,4-Seam Fastball
301,97.7,17,97.6,Sinker
108,106.2,5,99,4-Seam Fastball
7,73.9,-24,98.4,Sinker
163,85.9,66,97.2,4-Seam Fastball
338,100.1,40,98.1,4-Seam Fastball
416,104.8,31,98.2,4-Seam Fastball
11,95.4,-16,96.8,4-Seam Fastball
381,100.7,38,98.1,4-Seam Fastball
15,96.8,-8,97.6,Sinker
355,94.3,27,96.9,4-Seam Fastball
321,89,43,97.5,4-Seam Fastball
138,98.2,63,98,4-Seam Fastball
41,110.8,-2,96.7,4-Seam Fastball
74,105.6,2,97.5,4-Seam Fastball
333,93.1,39,96.7,4-Seam Fastball
177,106.2,7,96.4,4-Seam Fastball
65,105.2,2,96.8,4-Seam Fastball
187,109.1,11,96,4-Seam Fastball
21,101.4,-4,96.4,4-Seam Fastball
1,66.1,-74,98.7,4-Seam Fastball
237,90.1,54,97.2,4-Seam Fastball
56,102.5,0,96.5,Sinker
12,94.3,-11,96.5,Sinker
44,106,0,97.2,4-Seam Fastball
299,82.9,44,97.7,Sinker
137,108.9,5,98.1,4-Seam Fastball
65,104.4,2,97,4-Seam Fastball
192,89.5,13,98.2,Sinker
51,96.3,0,96.5,4-Seam Fastball
312,88.7,31,98.2,4-Seam Fastball
4,66.3,-31,97.9,Sinker
165,72.7,16,96.5,Sinker
189,94.1,62,97.3,4-Seam Fastball
2,44.6,-59,97.1,Sinker
140,106.9,5,96.2,4-Seam Fastball
6,92.7,-17,97.1,4-Seam Fastball
354,90.9,26,96.8,4-Seam Fastball
18,79.6,-7,97.2,4-Seam Fastball
3,98.9,-25,97.2,4-Seam Fastball
326,104.4,19,95.9,4-Seam Fastball
393,95,29,96,4-Seam Fastball
333,92.9,26,97.9,4-Seam Fastball
9,77.9,-16,96.7,4-Seam Fastball
4,51.2,-35,97.3,4-Seam Fastball
249,74,27,97.4,4-Seam Fastball
123,65.6,13,97.1,4-Seam Fastball
2,63.9,-39,96.6,4-Seam Fastball
294,82.6,34,96.6,4-Seam Fastball
3,90.1,-42,96.5,Sinker
8,94.7,-13,96.2,4-Seam Fastball
177,70.1,17,96.2,4-Seam Fastball
380,107.5,37,96,4-Seam Fastball
317,94.5,42,96.2,4-Seam Fastball
319,91.4,39,98.3,4-Seam Fastball
241,103.7,15,96,4-Seam Fastball
138,91.3,7,96.9,4-Seam Fastball
221,73.9,48,96.8,4-Seam Fastball
188,90.1,11,95.7,4-Seam Fastball
7,87.1,-18,97.7,4-Seam Fastball
266,94.4,52,96.7,4-Seam Fastball
104,110,4,96.2,4-Seam Fastball
58,105.3,1,96.5,4-Seam Fastball
8,36.5,-18,95.7,4-Seam Fastball
4,101.2,-21,97.1,4-Seam Fastball
295,81.3,38,96.8,4-Seam Fastball
141,98.2,4,95.6,Sinker
384,99.9,23,97.4,4-Seam Fastball
57,99.4,1,97,4-Seam Fastball
295,95.3,20,98.2,4-Seam Fastball
338,104.8,17,96.5,4-Seam Fastball
376,109.2,19,95.7,4-Seam Fastball
431,107.9,32,96.1,4-Seam Fastball
332,94.7,21,96,4-Seam Fastball
323,97,19,97.8,4-Seam Fastball
37,96.1,-2,95.6,Sinker
339,94.3,28,96,4-Seam Fastball
59,94.8,2,97.1,4-Seam Fastball
7,74.7,-19,97.1,4-Seam Fastball
12,103,-12,96.5,4-Seam Fastball
11,71.2,-9,96.5,4-Seam Fastball
446,109.6,26,97.7,4-Seam Fastball
199,62,38,96,Sinker
12,78.4,-10,98.1,4-Seam Fastball
226,69.1,38,96.8,4-Seam Fastball
25,106.3,-4,96.5,Sinker
86,89,5,95.2,Sinker
176,61.6,28,96,Sinker
281,97,21,97,Cutter
376,99,35,96.5,4-Seam Fastball
240,99,13,97,Sinker
6,90.3,-23,96,Sinker
3,50.9,-39,96.9,Sinker
279,78.8,36,96.5,4-Seam Fastball
1,61.4,-57,97.9,4-Seam Fastball
203,99,10,96,4-Seam Fastball
7,106.3,-11,95.6,4-Seam Fastball
241,100.7,15,96,4-Seam Fastball
13,95.2,-13,96.5,4-Seam Fastball
335,102.7,19,96.7,4-Seam Fastball
191,69,51,96.5,4-Seam Fastball
211,76.2,53,97.9,4-Seam Fastball
185,85.3,14,97.4,4-Seam Fastball
325,97.5,21,97.6,4-Seam Fastball
382,98,24,96.3,4-Seam Fastball
249,88,15,96.3,4-Seam Fastball
0,54.7,-76,96.5,4-Seam Fastball
354,92.8,38,95.6,4-Seam Fastball
8,92.1,-16,97.5,4-Seam Fastball
60,103,0,97.9,4-Seam Fastball
279,104.2,14,96.6,4-Seam Fastball
403,106.1,25,95.8,4-Seam Fastball
7,79.5,-12,96.1,4-Seam Fastball
340,94.1,24,95.6,4-Seam Fastball
15,97,-7,96.4,4-Seam Fastball
325,99,19,96.6,4-Seam Fastball
286,85.2,43,96.2,4-Seam Fastball
377,96.2,30,96.3,4-Seam Fastball
229,90.2,15,96.1,4-Seam Fastball
295,94.4,18,96.2,4-Seam Fastball
221,101.4,12,97.1,Sinker
428,108.3,37,96.1,4-Seam Fastball
66,110.4,1,96.9,Sinker
259,105.6,13,95.1,4-Seam Fastball
197,73.1,54,96,4-Seam Fastball
70,110.1,2,97.2,4-Seam Fastball
41,103.8,0,96.8,4-Seam Fastball
8,97.3,-14,96.3,4-Seam Fastball
159,69.6,17,96.8,4-Seam Fastball
343,91.1,27,97.4,4-Seam Fastball
208,63.4,43,96.9,4-Seam Fastball
342,98.7,44,95.7,4-Seam Fastball
249,91.6,19,97.3,Sinker
313,91.5,45,97.7,4-Seam Fastball
366,93.4,29,97,Sinker
36,66.5,0,96.1,4-Seam Fastball
1,83.9,-54,96.4,Sinker
105,103.4,3,96.2,4-Seam Fastball
233,87.1,53,96.6,4-Seam Fastball
44,79,1,95.6,Sinker
14,96.6,-10,98,4-Seam Fastball
215,96.5,13,98,Sinker
152,99.5,7,97.5,4-Seam Fastball
371,98.7,31,96.8,4-Seam Fastball
117,60.5,63,95.9,Sinker
140,85.5,67,95.9,4-Seam Fastball
125,99.7,6,96.9,4-Seam Fastball
134,97.6,8,96.1,4-Seam Fastball
197,66,24,97.6,4-Seam Fastball
1,55.6,37,96.5,4-Seam Fastball
12,70.1,-8,96.1,4-Seam Fastball
6,70.7,-25,96.8,4-Seam Fastball
3,49.5,-39,95.5,Sinker
335,98.6,16,97.8,4-Seam Fastball
349,96.8,32,96.2,4-Seam Fastball
296,100.3,18,96,Sinker
370,102.9,22,95.9,4-Seam Fastball
1,46.4,-61,97.6,4-Seam Fastball
18,99,-8,95.9,4-Seam Fastball
52,94.2,0,96.5,4-Seam Fastball
4,83.9,-23,97.7,4-Seam Fastball
337,98.5,39,96.1,4-Seam Fastball
160,99.6,9,95.5,4-Seam Fastball
180,90,10,95.8,4-Seam Fastball
284,86.9,43,96.2,4-Seam Fastball
30,78.1,79,96.2,4-Seam Fastball
391,99,26,96.1,4-Seam Fastball
175,74,58,95.1,4-Seam Fastball
122,77.1,72,96.3,4-Seam Fastball
177,80.4,14,96.3,4-Seam Fastball
15,73.7,-7,98.1,Sinker
15,94,-10,96.7,4-Seam Fastball
1,63.5,-61,96,4-Seam Fastball
74,97.2,2,96,4-Seam Fastball
224,71.7,46,94.9,4-Seam Fastball
56,97.4,0,97.5,4-Seam Fastball
396,111.9,19,96.3,4-Seam Fastball
10,90.5,-16,95.7,4-Seam Fastball
395,106.5,22,96.3,4-Seam Fastball
273,92.5,48,96.5,Sinker
125,106.9,5,96.8,4-Seam Fastball
322,99.6,20,96.2,4-Seam Fastball
231,89.4,60,95.8,4-Seam Fastball
8,88,-18,97.5,4-Seam Fastball
233,95.8,17,95.9,4-Seam Fastball
274,94.8,15,96.3,4-Seam Fastball
303,99.9,17,96.4,4-Seam Fastball
68,97.3,2,96.1,4-Seam Fastball
189,88.2,11,95.7,4-Seam Fastball
283,81.9,41,96.1,4-Seam Fastball
7,104.2,-13,96.6,4-Seam Fastball
301,93.3,45,96.1,4-Seam Fastball
380,99.7,31,95.2,Sinker
1,38,-66,96,Sinker
166,99.2,9,97.5,4-Seam Fastball
112,92.6,68,97.9,4-Seam Fastball
2,57.4,-51,95.9,Sinker
410,112.8,21,95.3,Sinker
135,75.3,66,97.6,4-Seam Fastball
210,92,12,95.8,4-Seam Fastball
326,93.2,39,96.4,4-Seam Fastball
243,103.7,10,95.6,4-Seam Fastball
142,103.8,9,95.9,4-Seam Fastball
247,91.6,16,96,4-Seam Fastball
280,79.7,27,97.3,4-Seam Fastball
214,87.8,13,95.8,4-Seam Fastball
312,92.9,23,95.4,4-Seam Fastball
21,95.4,-7,95.8,4-Seam Fastball
328,91.5,32,95.7,4-Seam Fastball
1,50.1,-70,97.6,4-Seam Fastball
197,102.7,10,95.5,4-Seam Fastball
306,108.2,14,95.4,4-Seam Fastball
51,79,84,95.8,4-Seam Fastball
404,104.4,27,96.3,4-Seam Fastball
267,109.8,11,96.4,4-Seam Fastball
228,83.7,19,96.3,4-Seam Fastball
321,99.6,45,96,4-Seam Fastball
277,82.2,36,94.7,Sinker
301,89.1,27,96.5,4-Seam Fastball
9,95.5,-13,96,Sinker
