pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,events,description,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,pitch_name
FF,10/3/2021,98.6,-1.74,5.81,"Lindor, Francisco",field_out,hit_into_play,popup,115,92,67,99.3,2356,6.7,4-Seam Fastball
FF,4/23/2021,98.5,-1.28,6.67,"Calhoun, Kole",field_out,hit_into_play,popup,171,101.9,63,98,2141,6.1,4-Seam Fastball
FF,4/12/2021,98.5,-2.49,6.18,"Riley, Austin",field_out,hit_into_play,fly_ball,263,97,50,97.9,2407,6,4-Seam Fastball
FF,7/16/2021,98.4,-0.68,6.13,"Arcia, Orlando",single,hit_into_play,line_drive,236,98.1,10,99.1,2470,6.6,4-Seam Fastball
SI,4/12/2021,98.4,-2.46,6.01,"Inciarte, Ender",field_out,hit_into_play,fly_ball,292,86.6,40,97.8,2438,6.2,Sinker
SI,5/8/2021,98.4,1.09,6.63,"Albies, Ozzie",field_out,hit_into_play,ground_ball,8,66.3,-21,99,2109,6.8,Sinker
SI,7/3/2021,98.4,-2.34,5.95,"Muller, Kyle",field_out,hit_into_play,ground_ball,3,90.4,-40,97.7,2231,5.8,Sinker
FF,7/16/2021,98.4,-0.63,6.21,"Riley, Austin",single,hit_into_play,line_drive,258,90.4,19,99.2,2405,6.5,4-Seam Fastball
FF,7/1/2021,98.3,-1.1,5.48,"Swanson, Dansby",field_out,hit_into_play,line_drive,295,82.7,26,99.5,2424,7,4-Seam Fastball
FF,9/12/2021,98.3,-1.89,5.99,"Soler, Jorge",field_out,hit_into_play,ground_ball,53,107.4,0,98.7,2295,6.6,4-Seam Fastball
FF,5/17/2021,98.3,-1.58,6.04,"Albies, Ozzie",field_out,hit_into_play,line_drive,159,100.7,10,98.1,2427,6.1,4-Seam Fastball
SI,5/8/2021,98.2,-1.37,5.93,"Adrianza, Ehire",single,hit_into_play,ground_ball,140,102.9,6,98.9,2253,6.6,Sinker
SI,8/23/2021,98.2,-1.91,5.73,"Heredia, Guillermo",field_out,hit_into_play,ground_ball,1,46.9,-67,98.9,2379,6.6,Sinker
FF,7/4/2021,98.2,-2.78,4.95,"Heredia, Guillermo",single,hit_into_play,ground_ball,107,73.1,8,97.8,2563,6,4-Seam Fastball
FF,7/16/2021,98.2,-0.38,6.91,"Pederson, Joc",field_out,hit_into_play,ground_ball,6,105.6,-19,99.1,2256,6.7,4-Seam Fastball
FF,7/1/2021,98.2,-1.26,5.47,"Swanson, Dansby",field_out,hit_into_play,fly_ball,333,95.3,26,99.7,2364,7,4-Seam Fastball
FF,4/28/2021,98.2,-0.58,6.8,"Contreras, Willson",field_out,hit_into_play,fly_ball,343,100.8,40,98,2196,6.1,4-Seam Fastball
FF,9/9/2021,98.2,-0.78,6.59,"Soto, Juan",single,hit_into_play,ground_ball,18,108.7,-5,97.2,2084,6.2,4-Seam Fastball
FF,10/1/2021,98.1,-1.72,5.9,"McNeil, Jeff",field_out,hit_into_play,popup,46,56.3,77,98.7,2362,6.7,4-Seam Fastball
FF,10/1/2021,98.1,-0.58,6.74,"Peraza, José",field_out,hit_into_play,fly_ball,360,95.1,35,97.8,2180,6,4-Seam Fastball
FF,10/1/2021,98,-1.69,5.9,"Lindor, Francisco",single,hit_into_play,line_drive,287,93.1,17,98.4,2349,6.6,4-Seam Fastball
FF,4/9/2021,98,-1.54,5.84,"Albies, Ozzie",field_out,hit_into_play,fly_ball,247,80.4,45,99.9,2415,7,4-Seam Fastball
FF,4/9/2021,98,-1.42,5.85,"Acuña Jr., Ronald",double,hit_into_play,line_drive,180,103.3,11,100,2396,7.1,4-Seam Fastball
FF,7/3/2021,98,-2.34,6.01,"Albies, Ozzie",field_out,hit_into_play,popup,190,82.5,63,97.7,2219,6.2,4-Seam Fastball
SI,4/12/2021,98,-2.32,6.11,"Inciarte, Ender",field_out,hit_into_play,ground_ball,11,94.2,-11,97.7,2454,6.1,Sinker
FF,4/11/2021,97.9,-1.45,6.01,"Freeman, Freddie",field_out,hit_into_play,fly_ball,286,83.9,40,98.2,2492,6.4,4-Seam Fastball
SI,5/8/2021,97.9,-1.41,5.95,"Pache, Cristian",field_out,hit_into_play,ground_ball,1,54.1,-60,98.4,2272,6.6,Sinker
SI,9/11/2021,97.9,-1.23,5.93,"Pederson, Joc",field_out,hit_into_play,fly_ball,318,96.8,46,97.1,2217,5.9,Sinker
FF,4/23/2021,97.9,-0.17,6.86,"Kelly, Carson",field_out,hit_into_play,popup,127,69,68,97.6,2124,6,4-Seam Fastball
